id_vintage_id,wine_id,name,country,region,wynnery,wine_color,grappe
104033256,1153702,Château Troplong Mondot Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2016,France,Saint-Émilion Grand Cru,Château Troplong Mondot,Vin rouge,Merlot
104020817,23264,Conti Costanti Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Conti Costanti,Vin rouge,Sangiovese
103459705,8023,Colgin IX Estate Red 2016,États-Unis,Napa Valley,Colgin,Vin rouge,Assemblage
103373328,1632340,Descendientes de J. Palacios La Faraona Bierzo (Corullón) 2016,Espagne,Bierzo,Descendientes de J. Palacios,Vin rouge,Mencia
103229990,18717,Bodegas Roda Cirsion Rioja 2016,Espagne,Rioja,Bodegas Roda,Vin rouge,Tempranillo
102982724,1150380,Valdicava Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Valdicava,Vin rouge,Sangiovese
102610669,1167182,Henri Giraud MV 2016,France,Champagne Grand Cru Aÿ,Henri Giraud,Vin effervescent,Assemblage
102239520,16786,Château Climens Barsac (Premier Grand Cru Classé) 2016,France,Barsac,Château Climens,Vin doux,Sémillon
101995191,2716483,Cà dei Frati Pietro Dal Cero Amarone della Valpolicella 2016,Italie,Amarone della Valpolicella,Cà dei Frati,Vin rouge,Assemblage
101276270,1524704,Viña Vik Winery VIK 2016,Chili,Cachapoal Valley,Viña Vik Winery,Vin rouge,Assemblage
101019013,2371202,Domini Veneti Amarone della Valpolicella Classico Mater 2015,Italie,Amarone della Valpolicella Classico,Domini Veneti,Vin rouge,Assemblage
100341683,1148839,Château La Mission Haut-Brion La Chapelle de La Mission Haut-Brion Pessac-Léognan 2016,France,Pessac-Léognan,Château La Mission Haut-Brion,Vin rouge,Merlot
98717774,1179007,Domaine Jamet Côte-Rôtie 2016,France,Côte-Rôtie,Domaine Jamet,Vin rouge,Shiraz/Syrah
97622467,779441,Domaine Sylvain Cathiard Vosne-Romanée 1er Cru 'Aux Malconsorts' 2014,France,Vosne-Romanée 1er Cru Malconsorts,Domaine Sylvain Cathiard,Vin rouge,Pinot Noir
97595627,22174,Tenuta Il Poggione Brunello di Montalcino Riserva Vigna Paganelli 2016,Italie,Brunello di Montalcino,Tenuta Il Poggione,Vin rouge,Sangiovese
97545356,66194,Gaja Sperss Barolo 2016,Italie,Barolo,Gaja,Vin rouge,Nebbiolo
97482257,2218,Marqués de Riscal Rioja 150 Aniversario 2016,Espagne,Rioja,Marqués de Riscal,Vin rouge,Tempranillo
97029391,1099912,Henri Bonneau Chateauneuf-du-Pape Réserve des Célestins 2014,France,Châteauneuf-du-Pape,Henri Bonneau,Vin rouge,Grenache
96786290,11733,Castellare Toscana I Sodi di San Niccolo 2016,Italie,Toscane,Castellare,Vin rouge,Sangiovese
96596645,75816,Tua Rita Redigaffi Toscana 2016,Italie,Toscane,Tua Rita,Vin rouge,Merlot
96557821,77676,Terlan (Terlano) Quarz Sauvignon 2016,Italie,Trentin-Haut-Adige,Terlan (Terlano),Vin blanc,Sauvignon Blanc
96223214,25474,Sena Aconcagua Valley 2016,Chili,Vallée de l'Aconcagua,Sena,Vin rouge,Cabernet Sauvignon
93871933,80472,Château Montrose Saint-Estèphe (Grand Cru Classé) 2016,France,Saint-Estèphe,Château Montrose,Vin rouge,Cabernet Franc
93367476,66104,Gaja Barbaresco 2016,Italie,Barbaresco,Gaja,Vin rouge,Nebbiolo
92440042,779524,Uccelliera Brunello di Montalcino Riserva 2016,Italie,Brunello di Montalcino,Uccelliera,Vin rouge,Sangiovese
92227950,83173,Poggio di Sotto Brunello di Montalcino 2016,Italie,Brunello di Montalcino,Poggio di Sotto,Vin rouge,Sangiovese
91916143,84066,Quintarelli Giuseppe Valpolicella Classico Superiore 2016,Italie,Valpolicella Classico,Quintarelli Giuseppe,Vin rouge,Assemblage
90823234,1605285,Château La Mission Haut-Brion Pessac-Léognan (Grand Cru Classé de Graves) 2016,France,Pessac-Léognan,Château La Mission Haut-Brion,Vin rouge,Assemblage
89966786,1473611,E. Guigal Côte-Rôtie La Turque 2016,France,Côte-Rôtie,E. Guigal,Vin rouge,Shiraz/Syrah
89293379,99584,Remírez de Ganuza Trasnocho 2016,Espagne,Rioja,Remírez de Ganuza,Vin rouge,Tempranillo
88966416,79762,Château Pichon Baron Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pichon Baron,Vin rouge,Assemblage
88399756,1636506,Recaredo Reserva Particular de Recaredo Gran Reserva Brut Nature 2013,Espagne,Penedès,Recaredo,Vin effervescent,Xarel-lo
